X,Y,pop_defacto_2020
29206.23,23483.10,21.35
29406.23,23483.10,38.16
29606.23,23483.10,28.54
29806.23,23483.10,31.97
30006.23,23483.10,37.28
30206.23,23483.10,72.90
30406.23,23483.10,51.50
30606.23,23483.10,43.30
30806.23,23483.10,30.73
31006.23,23483.10,32.76
31206.23,23483.10,71.45
31406.23,23483.10,45.75
31606.23,23483.10,44.81
31806.23,23483.10,41.65
32006.23,23483.10,109.09
32206.23,23483.10,114.05
32406.23,23483.10,123.31
32606.23,23483.10,147.70
32806.23,23483.10,148.02
33006.23,23483.10,120.44
33206.23,23483.10,53.37
33406.23,23483.10,38.84
33606.23,23483.10,29.48
33806.23,23483.10,33.73
34006.23,23483.10,27.11
34206.23,23483.10,29.41
34406.23,23483.10,24.08
34606.23,23483.10,36.34
34806.23,23483.10,50.84
35006.23,23483.10,28.34
35206.23,23483.10,24.60
35406.23,23483.10,21.92
35606.23,23483.10,23.31
35806.23,23483.10,16.03
36006.23,23483.10,16.27
36206.23,23483.10,16.07
36406.23,23483.10,14.42
36606.23,23483.10,17.23
36806.23,23483.10,10.66
37006.23,23483.10,9.63
37206.23,23483.10,9.20
37406.23,23483.10,12.57
37606.23,23483.10,8.05
37806.23,23483.10,8.25
38006.23,23483.10,8.53
38206.23,23483.10,10.93
38406.23,23483.10,11.29
38606.23,23483.10,5.56
38806.23,23483.10,5.22
39006.23,23483.10,4.65
39206.23,23483.10,7.10
39406.23,23483.10,4.66
39606.23,23483.10,4.44
39806.23,23483.10,4.22
40006.23,23483.10,4.38
40206.23,23483.10,6.56
40406.23,23483.10,4.51
40606.23,23483.10,4.59
40806.23,23483.10,4.80
-24993.77,23283.10,7.59
-24793.77,23283.10,16.57
-24593.77,23283.10,12.04
-24393.77,23283.10,13.37
-24193.77,23283.10,19.21
-23993.77,23283.10,24.17
-23793.77,23283.10,35.14
-23593.77,23283.10,22.93
-23393.77,23283.10,23.84
-23193.77,23283.10,31.25
-22993.77,23283.10,44.70
-22793.77,23283.10,35.62
-22593.77,23283.10,34.90
-22393.77,23283.10,44.24
-22193.77,23283.10,52.29
-21993.77,23283.10,92.67
-21793.77,23283.10,62.35
-21593.77,23283.10,71.17
-21393.77,23283.10,66.01
-21193.77,23283.10,124.82
-20993.77,23283.10,87.84
-20793.77,23283.10,96.61
-20593.77,23283.10,102.06
-20393.77,23283.10,93.64
-20193.77,23283.10,81.53
-19993.77,23283.10,40.80
-19793.77,23283.10,31.44
-19593.77,23283.10,25.56
-19393.77,23283.10,39.74
-19193.77,23283.10,32.08
-18993.77,23283.10,31.32
-18793.77,23283.10,40.44
-18593.77,23283.10,40.82
-18393.77,23283.10,48.99
-18193.77,23283.10,37.10
-17993.77,23283.10,59.04
-17793.77,23283.10,85.32
-17593.77,23283.10,137.06
-17393.77,23283.10,89.16
-17193.77,23283.10,111.03
-16993.77,23283.10,127.40
-16793.77,23283.10,146.24
-16593.77,23283.10,221.12
-16393.77,23283.10,145.74
-16193.77,23283.10,140.90
-15993.77,23283.10,101.82
-15793.77,23283.10,129.89
-15593.77,23283.10,70.53
-15393.77,23283.10,68.23
